Battery_Type,Brand,Problem,Repairable,Action
Lead-Acid,Samsung,Leakage,No,Not Repairable - Need to Buy New One
Lead-Acid,LG,Leakage,No,Not Repairable - Need to Buy New One
Li-Polymer,Amaron,Dead Cell,No,Not Repairable - Need to Buy New One
NiMH,Sony,Not Charging,Yes,Repair - Approx Cost ₹491
Li-Polymer,Samsung,Overheating,Yes,Repair - Approx Cost ₹1140
Lead-Acid,LG,Not Charging,Yes,Repair - Approx Cost ₹929
Lead-Acid,Sony,Dead Cell,No,Not Repairable - Need to Buy New One
Li-ion,Amaron,Dead Cell,No,Not Repairable - Need to Buy New One
Li-ion,Sony,Voltage Drop,Yes,Repair - Approx Cost ₹1021
Li-ion,Sony,Voltage Drop,Yes,Repair - Approx Cost ₹1404
Li-ion,Sony,Not Charging,Yes,Repair - Approx Cost ₹1018
Li-ion,Duracell,Overheating,Yes,Repair - Approx Cost ₹1118
Lead-Acid,Exide,Swollen Battery,No,Not Repairable - Need to Buy New One
Li-ion,Amaron,Physical Damage,No,Not Repairable - Need to Buy New One
Lead-Acid,LG,Voltage Drop,Yes,Repair - Approx Cost ₹1469
Li-Polymer,Samsung,Not Charging,Yes,Repair - Approx Cost ₹1487
Li-Polymer,Panasonic,Swollen Battery,No,Not Repairable - Need to Buy New One
Li-ion,Duracell,Voltage Drop,Yes,Repair - Approx Cost ₹506
Lead-Acid,Exide,Not Charging,Yes,Repair - Approx Cost ₹220
Lead-Acid,Exide,Swollen Battery,No,Not Repairable - Need to Buy New One
Lead-Acid,Exide,Not Charging,Yes,Repair - Approx Cost ₹1346
Li-Polymer,LG,Dead Cell,No,Not Repairable - Need to Buy New One
Li-ion,Panasonic,Leakage,No,Not Repairable - Need to Buy New One
Lead-Acid,Panasonic,Not Charging,Yes,Repair - Approx Cost ₹887
Li-Polymer,Duracell,Physical Damage,No,Not Repairable - Need to Buy New One
Lead-Acid,Sony,Dead Cell,No,Not Repairable - Need to Buy New One
NiMH,Sony,Voltage Drop,Yes,Repair - Approx Cost ₹296
Li-ion,LG,Physical Damage,No,Not Repairable - Need to Buy New One
Lead-Acid,Sony,Physical Damage,No,Not Repairable - Need to Buy New One
Lead-Acid,Panasonic,Swollen Battery,No,Not Repairable - Need to Buy New One
Li-ion,LG,Low Backup,Yes,Repair - Approx Cost ₹223
NiMH,Sony,Dead Cell,No,Not Repairable - Need to Buy New One
Li-Polymer,Exide,Leakage,No,Not Repairable - Need to Buy New One
NiMH,Exide,Voltage Drop,Yes,Repair - Approx Cost ₹1182
Li-ion,LG,Leakage,No,Not Repairable - Need to Buy New One
Li-Polymer,Amaron,Dead Cell,No,Not Repairable - Need to Buy New One
NiMH,Panasonic,Dead Cell,No,Not Repairable - Need to Buy New One
NiMH,Duracell,Not Charging,Yes,Repair - Approx Cost ₹1133
Li-Polymer,Panasonic,Low Backup,Yes,Repair - Approx Cost ₹490
Lead-Acid,Duracell,Swollen Battery,No,Not Repairable - Need to Buy New One
Li-ion,Samsung,Physical Damage,No,Not Repairable - Need to Buy New One
NiMH,Duracell,Voltage Drop,Yes,Repair - Approx Cost ₹1074
Li-ion,LG,Low Backup,Yes,Repair - Approx Cost ₹1263
Li-ion,Duracell,Leakage,No,Not Repairable - Need to Buy New One
Li-Polymer,Sony,Leakage,No,Not Repairable - Need to Buy New One
Li-ion,Panasonic,Overheating,Yes,Repair - Approx Cost ₹1266
Lead-Acid,Exide,Swollen Battery,No,Not Repairable - Need to Buy New One
Lead-Acid,Samsung,Overheating,Yes,Repair - Approx Cost ₹1234
Lead-Acid,Exide,Not Charging,Yes,Repair - Approx Cost ₹701
Lead-Acid,Exide,Voltage Drop,Yes,Repair - Approx Cost ₹693
Li-ion,Exide,Swollen Battery,No,Not Repairable - Need to Buy New One
Li-Polymer,Exide,Dead Cell,No,Not Repairable - Need to Buy New One
NiMH,LG,Voltage Drop,Yes,Repair - Approx Cost ₹1279
NiMH,Exide,Overheating,Yes,Repair - Approx Cost ₹1414
Li-ion,LG,Leakage,No,Not Repairable - Need to Buy New One
NiMH,Duracell,Voltage Drop,Yes,Repair - Approx Cost ₹739
Lead-Acid,Exide,Low Backup,Yes,Repair - Approx Cost ₹1199
Li-ion,Sony,Not Charging,Yes,Repair - Approx Cost ₹348
Lead-Acid,LG,Voltage Drop,Yes,Repair - Approx Cost ₹626
Li-Polymer,Sony,Dead Cell,No,Not Repairable - Need to Buy New One
Li-Polymer,Panasonic,Overheating,Yes,Repair - Approx Cost ₹782
Lead-Acid,Panasonic,Physical Damage,No,Not Repairable - Need to Buy New One
Lead-Acid,LG,Voltage Drop,Yes,Repair - Approx Cost ₹1039
NiMH,Samsung,Not Charging,Yes,Repair - Approx Cost ₹634
Li-Polymer,Samsung,Dead Cell,No,Not Repairable - Need to Buy New One
NiMH,LG,Voltage Drop,Yes,Repair - Approx Cost ₹720
Lead-Acid,Exide,Swollen Battery,No,Not Repairable - Need to Buy New One
Li-ion,Samsung,Not Charging,Yes,Repair - Approx Cost ₹411
NiMH,Amaron,Low Backup,Yes,Repair - Approx Cost ₹1480
Li-ion,Sony,Leakage,No,Not Repairable - Need to Buy New One
Li-ion,Samsung,Low Backup,Yes,Repair - Approx Cost ₹1063
NiMH,Panasonic,Leakage,No,Not Repairable - Need to Buy New One
Li-Polymer,Sony,Not Charging,Yes,Repair - Approx Cost ₹248
NiMH,Duracell,Voltage Drop,Yes,Repair - Approx Cost ₹969
Li-Polymer,Duracell,Voltage Drop,Yes,Repair - Approx Cost ₹569
NiMH,Duracell,Physical Damage,No,Not Repairable - Need to Buy New One
NiMH,Exide,Not Charging,Yes,Repair - Approx Cost ₹1081
Li-ion,LG,Leakage,No,Not Repairable - Need to Buy New One
Li-Polymer,Samsung,Leakage,No,Not Repairable - Need to Buy New One
Li-Polymer,Sony,Low Backup,Yes,Repair - Approx Cost ₹1209
Li-ion,Panasonic,Not Charging,Yes,Repair - Approx Cost ₹932
Li-ion,Amaron,Swollen Battery,No,Not Repairable - Need to Buy New One
Li-ion,Samsung,Voltage Drop,Yes,Repair - Approx Cost ₹448
Li-Polymer,Amaron,Low Backup,Yes,Repair - Approx Cost ₹428
NiMH,Duracell,Swollen Battery,No,Not Repairable - Need to Buy New One
NiMH,Amaron,Leakage,No,Not Repairable - Need to Buy New One
NiMH,Duracell,Low Backup,Yes,Repair - Approx Cost ₹934
NiMH,Exide,Overheating,Yes,Repair - Approx Cost ₹878
Li-Polymer,LG,Swollen Battery,No,Not Repairable - Need to Buy New One
Li-Polymer,LG,Physical Damage,No,Not Repairable - Need to Buy New One
Li-Polymer,Exide,Physical Damage,No,Not Repairable - Need to Buy New One
Li-ion,Panasonic,Leakage,No,Not Repairable - Need to Buy New One
Li-ion,Sony,Dead Cell,No,Not Repairable - Need to Buy New One
NiMH,Duracell,Not Charging,Yes,Repair - Approx Cost ₹282
Li-ion,Samsung,Overheating,Yes,Repair - Approx Cost ₹529
Lead-Acid,Panasonic,Overheating,Yes,Repair - Approx Cost ₹1219
Li-ion,Samsung,Swollen Battery,No,Not Repairable - Need to Buy New One
Li-Polymer,LG,Physical Damage,No,Not Repairable - Need to Buy New One
Li-Polymer,Samsung,Overheating,Yes,Repair - Approx Cost ₹452
NiMH,Sony,Voltage Drop,Yes,Repair - Approx Cost ₹254
Lead-Acid,Samsung,Not Charging,Yes,Repair - Approx Cost ₹1023
Li-Polymer,Sony,Swollen Battery,No,Not Repairable - Need to Buy New One
Li-Polymer,Sony,Not Charging,Yes,Repair - Approx Cost ₹260
NiMH,Amaron,Swollen Battery,No,Not Repairable - Need to Buy New One
Lead-Acid,Sony,Overheating,Yes,Repair - Approx Cost ₹798
Li-ion,Samsung,Swollen Battery,No,Not Repairable - Need to Buy New One
Lead-Acid,Amaron,Voltage Drop,Yes,Repair - Approx Cost ₹1212
Li-ion,Duracell,Overheating,Yes,Repair - Approx Cost ₹1383
Li-ion,LG,Not Charging,Yes,Repair - Approx Cost ₹1134
Li-Polymer,Samsung,Physical Damage,No,Not Repairable - Need to Buy New One
Lead-Acid,Samsung,Voltage Drop,Yes,Repair - Approx Cost ₹832
Lead-Acid,Samsung,Not Charging,Yes,Repair - Approx Cost ₹433
NiMH,Duracell,Dead Cell,No,Not Repairable - Need to Buy New One
Li-Polymer,Duracell,Overheating,Yes,Repair - Approx Cost ₹1427
Lead-Acid,Sony,Voltage Drop,Yes,Repair - Approx Cost ₹607
Li-ion,Samsung,Leakage,No,Not Repairable - Need to Buy New One
Li-ion,Panasonic,Overheating,Yes,Repair - Approx Cost ₹1333
Li-Polymer,Samsung,Voltage Drop,Yes,Repair - Approx Cost ₹1104
Li-ion,Panasonic,Dead Cell,No,Not Repairable - Need to Buy New One
Li-ion,Amaron,Voltage Drop,Yes,Repair - Approx Cost ₹1141
Li-ion,Samsung,Voltage Drop,Yes,Repair - Approx Cost ₹1015
Lead-Acid,Amaron,Leakage,No,Not Repairable - Need to Buy New One
Lead-Acid,Sony,Not Charging,Yes,Repair - Approx Cost ₹588
NiMH,LG,Swollen Battery,No,Not Repairable - Need to Buy New One
Li-ion,Samsung,Voltage Drop,Yes,Repair - Approx Cost ₹1498
Lead-Acid,Duracell,Physical Damage,No,Not Repairable - Need to Buy New One
Li-Polymer,Duracell,Dead Cell,No,Not Repairable - Need to Buy New One
NiMH,Panasonic,Physical Damage,No,Not Repairable - Need to Buy New One
Li-ion,Panasonic,Low Backup,Yes,Repair - Approx Cost ₹1403
Lead-Acid,Duracell,Swollen Battery,No,Not Repairable - Need to Buy New One
Li-ion,Panasonic,Physical Damage,No,Not Repairable - Need to Buy New One
Lead-Acid,LG,Voltage Drop,Yes,Repair - Approx Cost ₹1066
Li-ion,LG,Voltage Drop,Yes,Repair - Approx Cost ₹550
Li-ion,Amaron,Physical Damage,No,Not Repairable - Need to Buy New One
Lead-Acid,LG,Leakage,No,Not Repairable - Need to Buy New One
Lead-Acid,LG,Voltage Drop,Yes,Repair - Approx Cost ₹230
Li-Polymer,Exide,Swollen Battery,No,Not Repairable - Need to Buy New One
NiMH,Samsung,Not Charging,Yes,Repair - Approx Cost ₹280
Li-Polymer,Sony,Overheating,Yes,Repair - Approx Cost ₹1178
Lead-Acid,Panasonic,Not Charging,Yes,Repair - Approx Cost ₹889
Li-ion,Amaron,Overheating,Yes,Repair - Approx Cost ₹1010
Li-ion,Panasonic,Voltage Drop,Yes,Repair - Approx Cost ₹700
Lead-Acid,Amaron,Low Backup,Yes,Repair - Approx Cost ₹981
Li-ion,Panasonic,Leakage,No,Not Repairable - Need to Buy New One
NiMH,Samsung,Physical Damage,No,Not Repairable - Need to Buy New One
Li-ion,Samsung,Low Backup,Yes,Repair - Approx Cost ₹1263
Li-Polymer,Duracell,Physical Damage,No,Not Repairable - Need to Buy New One
Li-Polymer,Panasonic,Physical Damage,No,Not Repairable - Need to Buy New One
NiMH,Exide,Physical Damage,No,Not Repairable - Need to Buy New One
Li-Polymer,Panasonic,Physical Damage,No,Not Repairable - Need to Buy New One
Li-ion,Samsung,Dead Cell,No,Not Repairable - Need to Buy New One
Li-ion,Exide,Leakage,No,Not Repairable - Need to Buy New One
Lead-Acid,Duracell,Low Backup,Yes,Repair - Approx Cost ₹564
Li-Polymer,Panasonic,Leakage,No,Not Repairable - Need to Buy New One
Li-Polymer,Sony,Swollen Battery,No,Not Repairable - Need to Buy New One
Li-Polymer,Duracell,Not Charging,Yes,Repair - Approx Cost ₹1323
Li-Polymer,Amaron,Dead Cell,No,Not Repairable - Need to Buy New One
NiMH,LG,Swollen Battery,No,Not Repairable - Need to Buy New One
NiMH,Duracell,Not Charging,Yes,Repair - Approx Cost ₹422
Li-ion,Samsung,Not Charging,Yes,Repair - Approx Cost ₹1270
NiMH,Exide,Swollen Battery,No,Not Repairable - Need to Buy New One
Lead-Acid,Samsung,Not Charging,Yes,Repair - Approx Cost ₹841
Lead-Acid,Duracell,Overheating,Yes,Repair - Approx Cost ₹934
NiMH,LG,Not Charging,Yes,Repair - Approx Cost ₹402
Li-ion,Panasonic,Not Charging,Yes,Repair - Approx Cost ₹957
Lead-Acid,Sony,Physical Damage,No,Not Repairable - Need to Buy New One
Li-Polymer,Exide,Overheating,Yes,Repair - Approx Cost ₹342
NiMH,LG,Not Charging,Yes,Repair - Approx Cost ₹429
Li-Polymer,Duracell,Overheating,Yes,Repair - Approx Cost ₹849
Li-Polymer,Samsung,Physical Damage,No,Not Repairable - Need to Buy New One
Lead-Acid,Panasonic,Overheating,Yes,Repair - Approx Cost ₹1350
NiMH,Panasonic,Leakage,No,Not Repairable - Need to Buy New One
Li-Polymer,Panasonic,Swollen Battery,No,Not Repairable - Need to Buy New One
Li-Polymer,Exide,Leakage,No,Not Repairable - Need to Buy New One
Li-ion,Sony,Swollen Battery,No,Not Repairable - Need to Buy New One
Li-Polymer,Exide,Overheating,Yes,Repair - Approx Cost ₹1491
NiMH,Duracell,Swollen Battery,No,Not Repairable - Need to Buy New One
NiMH,Samsung,Physical Damage,No,Not Repairable - Need to Buy New One
Li-Polymer,Sony,Leakage,No,Not Repairable - Need to Buy New One
NiMH,Exide,Overheating,Yes,Repair - Approx Cost ₹606
Li-Polymer,Panasonic,Low Backup,Yes,Repair - Approx Cost ₹1204
Li-Polymer,Exide,Overheating,Yes,Repair - Approx Cost ₹615
Li-ion,LG,Not Charging,Yes,Repair - Approx Cost ₹803
Li-ion,Samsung,Not Charging,Yes,Repair - Approx Cost ₹1378
NiMH,Sony,Physical Damage,No,Not Repairable - Need to Buy New One
Li-ion,Duracell,Swollen Battery,No,Not Repairable - Need to Buy New One
Lead-Acid,Amaron,Physical Damage,No,Not Repairable - Need to Buy New One
Li-Polymer,Panasonic,Swollen Battery,No,Not Repairable - Need to Buy New One
Li-Polymer,LG,Swollen Battery,No,Not Repairable - Need to Buy New One
NiMH,Exide,Dead Cell,No,Not Repairable - Need to Buy New One
Li-ion,LG,Low Backup,Yes,Repair - Approx Cost ₹430
Lead-Acid,Duracell,Dead Cell,No,Not Repairable - Need to Buy New One
Lead-Acid,Sony,Physical Damage,No,Not Repairable - Need to Buy New One
Li-ion,LG,Not Charging,Yes,Repair - Approx Cost ₹1094
Li-Polymer,Panasonic,Not Charging,Yes,Repair - Approx Cost ₹890
NiMH,LG,Voltage Drop,Yes,Repair - Approx Cost ₹1253
Li-ion,Panasonic,Physical Damage,No,Not Repairable - Need to Buy New One
Li-ion,Panasonic,Dead Cell,No,Not Repairable - Need to Buy New One
Li-Polymer,Amaron,Overheating,Yes,Repair - Approx Cost ₹864
Li-Polymer,LG,Low Backup,Yes,Repair - Approx Cost ₹421
Li-ion,Sony,Not Charging,Yes,Repair - Approx Cost ₹782
Lead-Acid,LG,Low Backup,Yes,Repair - Approx Cost ₹616
NiMH,Amaron,Physical Damage,No,Not Repairable - Need to Buy New One
Lead-Acid,Duracell,Physical Damage,No,Not Repairable - Need to Buy New One
NiMH,Exide,Low Backup,Yes,Repair - Approx Cost ₹265
Li-ion,Amaron,Leakage,No,Not Repairable - Need to Buy New One
NiMH,Exide,Low Backup,Yes,Repair - Approx Cost ₹1493
Li-ion,Sony,Swollen Battery,No,Not Repairable - Need to Buy New One
Lead-Acid,Samsung,Dead Cell,No,Not Repairable - Need to Buy New One
NiMH,Sony,Low Backup,Yes,Repair - Approx Cost ₹289
Lead-Acid,Samsung,Low Backup,Yes,Repair - Approx Cost ₹1337
NiMH,LG,Voltage Drop,Yes,Repair - Approx Cost ₹1471
Li-ion,Sony,Not Charging,Yes,Repair - Approx Cost ₹531
Li-ion,Exide,Overheating,Yes,Repair - Approx Cost ₹300
Li-Polymer,Duracell,Dead Cell,No,Not Repairable - Need to Buy New One
Li-Polymer,Exide,Overheating,Yes,Repair - Approx Cost ₹1464
NiMH,Panasonic,Voltage Drop,Yes,Repair - Approx Cost ₹808
Lead-Acid,Sony,Voltage Drop,Yes,Repair - Approx Cost ₹909
Li-ion,Samsung,Dead Cell,No,Not Repairable - Need to Buy New One
Li-ion,Amaron,Swollen Battery,No,Not Repairable - Need to Buy New One
NiMH,Samsung,Swollen Battery,No,Not Repairable - Need to Buy New One
Li-Polymer,LG,Voltage Drop,Yes,Repair - Approx Cost ₹1304
Li-ion,LG,Low Backup,Yes,Repair - Approx Cost ₹1010
Li-ion,Sony,Voltage Drop,Yes,Repair - Approx Cost ₹1377
Li-ion,Exide,Dead Cell,No,Not Repairable - Need to Buy New One
Lead-Acid,Panasonic,Not Charging,Yes,Repair - Approx Cost ₹769
Li-Polymer,Exide,Not Charging,Yes,Repair - Approx Cost ₹269
Li-Polymer,Panasonic,Not Charging,Yes,Repair - Approx Cost ₹1164
Li-Polymer,Exide,Physical Damage,No,Not Repairable - Need to Buy New One
Lead-Acid,Amaron,Not Charging,Yes,Repair - Approx Cost ₹432
Li-Polymer,Exide,Voltage Drop,Yes,Repair - Approx Cost ₹862
Li-Polymer,Duracell,Physical Damage,No,Not Repairable - Need to Buy New One
Lead-Acid,Samsung,Voltage Drop,Yes,Repair - Approx Cost ₹1129
Lead-Acid,Exide,Physical Damage,No,Not Repairable - Need to Buy New One
NiMH,Panasonic,Physical Damage,No,Not Repairable - Need to Buy New One
Li-ion,Samsung,Physical Damage,No,Not Repairable - Need to Buy New One
Li-Polymer,LG,Dead Cell,No,Not Repairable - Need to Buy New One
NiMH,Duracell,Dead Cell,No,Not Repairable - Need to Buy New One
Li-ion,Sony,Physical Damage,No,Not Repairable - Need to Buy New One
Li-Polymer,LG,Voltage Drop,Yes,Repair - Approx Cost ₹646
NiMH,Samsung,Swollen Battery,No,Not Repairable - Need to Buy New One
Li-Polymer,Sony,Dead Cell,No,Not Repairable - Need to Buy New One
NiMH,Samsung,Overheating,Yes,Repair - Approx Cost ₹960
Li-ion,Panasonic,Physical Damage,No,Not Repairable - Need to Buy New One
Li-Polymer,Sony,Voltage Drop,Yes,Repair - Approx Cost ₹336
Li-Polymer,Duracell,Physical Damage,No,Not Repairable - Need to Buy New One
NiMH,Samsung,Voltage Drop,Yes,Repair - Approx Cost ₹1353
Lead-Acid,Amaron,Swollen Battery,No,Not Repairable - Need to Buy New One
Lead-Acid,LG,Dead Cell,No,Not Repairable - Need to Buy New One
Li-ion,LG,Swollen Battery,No,Not Repairable - Need to Buy New One
Li-Polymer,Panasonic,Low Backup,Yes,Repair - Approx Cost ₹1344
Li-ion,Exide,Swollen Battery,No,Not Repairable - Need to Buy New One
Li-Polymer,Panasonic,Dead Cell,No,Not Repairable - Need to Buy New One
Lead-Acid,Exide,Not Charging,Yes,Repair - Approx Cost ₹1440
Li-ion,Samsung,Voltage Drop,Yes,Repair - Approx Cost ₹702
Li-Polymer,LG,Swollen Battery,No,Not Repairable - Need to Buy New One
Lead-Acid,Duracell,Physical Damage,No,Not Repairable - Need to Buy New One
Lead-Acid,Samsung,Low Backup,Yes,Repair - Approx Cost ₹539
NiMH,LG,Not Charging,Yes,Repair - Approx Cost ₹247
Li-ion,LG,Physical Damage,No,Not Repairable - Need to Buy New One
Li-ion,Amaron,Physical Damage,No,Not Repairable - Need to Buy New One
Li-Polymer,Amaron,Swollen Battery,No,Not Repairable - Need to Buy New One
Lead-Acid,Exide,Swollen Battery,No,Not Repairable - Need to Buy New One
NiMH,Samsung,Low Backup,Yes,Repair - Approx Cost ₹1489
NiMH,LG,Overheating,Yes,Repair - Approx Cost ₹490
Lead-Acid,Duracell,Low Backup,Yes,Repair - Approx Cost ₹806
NiMH,Amaron,Swollen Battery,No,Not Repairable - Need to Buy New One
NiMH,Panasonic,Overheating,Yes,Repair - Approx Cost ₹692
Li-ion,Sony,Voltage Drop,Yes,Repair - Approx Cost ₹1464
NiMH,Duracell,Leakage,No,Not Repairable - Need to Buy New One
NiMH,Duracell,Overheating,Yes,Repair - Approx Cost ₹1439
Li-ion,Samsung,Dead Cell,No,Not Repairable - Need to Buy New One
NiMH,LG,Low Backup,Yes,Repair - Approx Cost ₹295
Lead-Acid,Panasonic,Swollen Battery,No,Not Repairable - Need to Buy New One
Li-ion,LG,Voltage Drop,Yes,Repair - Approx Cost ₹942
NiMH,LG,Dead Cell,No,Not Repairable - Need to Buy New One
NiMH,Sony,Physical Damage,No,Not Repairable - Need to Buy New One
Lead-Acid,Panasonic,Not Charging,Yes,Repair - Approx Cost ₹702
Li-ion,Exide,Leakage,No,Not Repairable - Need to Buy New One
NiMH,Amaron,Low Backup,Yes,Repair - Approx Cost ₹1266
Li-ion,Duracell,Leakage,No,Not Repairable - Need to Buy New One
Lead-Acid,Sony,Voltage Drop,Yes,Repair - Approx Cost ₹1011
Lead-Acid,Sony,Physical Damage,No,Not Repairable - Need to Buy New One
Li-Polymer,Amaron,Low Backup,Yes,Repair - Approx Cost ₹239
NiMH,Amaron,Swollen Battery,No,Not Repairable - Need to Buy New One
Li-ion,Sony,Not Charging,Yes,Repair - Approx Cost ₹1445
Li-Polymer,Sony,Physical Damage,No,Not Repairable - Need to Buy New One
NiMH,Amaron,Leakage,No,Not Repairable - Need to Buy New One
Li-ion,Panasonic,Voltage Drop,Yes,Repair - Approx Cost ₹914
NiMH,Amaron,Not Charging,Yes,Repair - Approx Cost ₹1330
Lead-Acid,Exide,Not Charging,Yes,Repair - Approx Cost ₹1123
Li-Polymer,Exide,Swollen Battery,No,Not Repairable - Need to Buy New One
Li-Polymer,Panasonic,Physical Damage,No,Not Repairable - Need to Buy New One
Li-ion,Samsung,Leakage,No,Not Repairable - Need to Buy New One
NiMH,LG,Voltage Drop,Yes,Repair - Approx Cost ₹509
Li-ion,Exide,Dead Cell,No,Not Repairable - Need to Buy New One
NiMH,Duracell,Leakage,No,Not Repairable - Need to Buy New One
Lead-Acid,LG,Not Charging,Yes,Repair - Approx Cost ₹1482
Lead-Acid,Samsung,Overheating,Yes,Repair - Approx Cost ₹414
Lead-Acid,Exide,Swollen Battery,No,Not Repairable - Need to Buy New One
Lead-Acid,LG,Voltage Drop,Yes,Repair - Approx Cost ₹815
Li-Polymer,Duracell,Dead Cell,No,Not Repairable - Need to Buy New One
Li-ion,LG,Swollen Battery,No,Not Repairable - Need to Buy New One
Lead-Acid,Amaron,Leakage,No,Not Repairable - Need to Buy New One
Lead-Acid,Amaron,Not Charging,Yes,Repair - Approx Cost ₹1075
Li-Polymer,Amaron,Physical Damage,No,Not Repairable - Need to Buy New One
Lead-Acid,Panasonic,Overheating,Yes,Repair - Approx Cost ₹793
Li-ion,LG,Physical Damage,No,Not Repairable - Need to Buy New One
Lead-Acid,Panasonic,Overheating,Yes,Repair - Approx Cost ₹1350
Lead-Acid,Duracell,Leakage,No,Not Repairable - Need to Buy New One
Lead-Acid,LG,Overheating,Yes,Repair - Approx Cost ₹695
NiMH,Sony,Physical Damage,No,Not Repairable - Need to Buy New One
Li-Polymer,Samsung,Overheating,Yes,Repair - Approx Cost ₹248
Lead-Acid,Panasonic,Swollen Battery,No,Not Repairable - Need to Buy New One
Li-ion,Samsung,Physical Damage,No,Not Repairable - Need to Buy New One
NiMH,Sony,Not Charging,Yes,Repair - Approx Cost ₹448
Li-Polymer,LG,Low Backup,Yes,Repair - Approx Cost ₹352
Li-Polymer,Panasonic,Dead Cell,No,Not Repairable - Need to Buy New One
Li-Polymer,Exide,Not Charging,Yes,Repair - Approx Cost ₹1053
NiMH,Sony,Leakage,No,Not Repairable - Need to Buy New One
Li-ion,Amaron,Overheating,Yes,Repair - Approx Cost ₹1402
Lead-Acid,Panasonic,Leakage,No,Not Repairable - Need to Buy New One
Lead-Acid,Amaron,Dead Cell,No,Not Repairable - Need to Buy New One
Lead-Acid,Samsung,Swollen Battery,No,Not Repairable - Need to Buy New One
Li-Polymer,Sony,Leakage,No,Not Repairable - Need to Buy New One
Li-Polymer,Exide,Not Charging,Yes,Repair - Approx Cost ₹1466
Lead-Acid,Duracell,Swollen Battery,No,Not Repairable - Need to Buy New One
Lead-Acid,Sony,Dead Cell,No,Not Repairable - Need to Buy New One
NiMH,Sony,Swollen Battery,No,Not Repairable - Need to Buy New One
NiMH,Sony,Swollen Battery,No,Not Repairable - Need to Buy New One
Lead-Acid,Duracell,Leakage,No,Not Repairable - Need to Buy New One
NiMH,LG,Voltage Drop,Yes,Repair - Approx Cost ₹707
Li-ion,Amaron,Leakage,No,Not Repairable - Need to Buy New One
Li-Polymer,Exide,Dead Cell,No,Not Repairable - Need to Buy New One
Li-Polymer,Sony,Not Charging,Yes,Repair - Approx Cost ₹781
Lead-Acid,Samsung,Overheating,Yes,Repair - Approx Cost ₹893
Li-ion,Sony,Leakage,No,Not Repairable - Need to Buy New One
Lead-Acid,Amaron,Low Backup,Yes,Repair - Approx Cost ₹1456
NiMH,Sony,Leakage,No,Not Repairable - Need to Buy New One
Li-Polymer,Sony,Physical Damage,No,Not Repairable - Need to Buy New One
NiMH,Panasonic,Physical Damage,No,Not Repairable - Need to Buy New One
Lead-Acid,LG,Physical Damage,No,Not Repairable - Need to Buy New One
NiMH,Exide,Physical Damage,No,Not Repairable - Need to Buy New One
NiMH,Sony,Dead Cell,No,Not Repairable - Need to Buy New One
Li-ion,LG,Physical Damage,No,Not Repairable - Need to Buy New One
Lead-Acid,LG,Physical Damage,No,Not Repairable - Need to Buy New One
Li-Polymer,Duracell,Overheating,Yes,Repair - Approx Cost ₹1189
NiMH,Exide,Swollen Battery,No,Not Repairable - Need to Buy New One
Li-Polymer,Samsung,Overheating,Yes,Repair - Approx Cost ₹844
NiMH,LG,Voltage Drop,Yes,Repair - Approx Cost ₹810
NiMH,Panasonic,Not Charging,Yes,Repair - Approx Cost ₹994
Lead-Acid,Samsung,Swollen Battery,No,Not Repairable - Need to Buy New One
Lead-Acid,Exide,Dead Cell,No,Not Repairable - Need to Buy New One
Lead-Acid,LG,Overheating,Yes,Repair - Approx Cost ₹746
Li-Polymer,Sony,Voltage Drop,Yes,Repair - Approx Cost ₹1166
Lead-Acid,Exide,Physical Damage,No,Not Repairable - Need to Buy New One
Lead-Acid,Amaron,Low Backup,Yes,Repair - Approx Cost ₹1369
Li-ion,Panasonic,Leakage,No,Not Repairable - Need to Buy New One
Lead-Acid,LG,Low Backup,Yes,Repair - Approx Cost ₹1239
Li-Polymer,Amaron,Overheating,Yes,Repair - Approx Cost ₹1301
Lead-Acid,LG,Low Backup,Yes,Repair - Approx Cost ₹1449
Li-ion,Sony,Physical Damage,No,Not Repairable - Need to Buy New One
Lead-Acid,Amaron,Leakage,No,Not Repairable - Need to Buy New One
Li-ion,LG,Overheating,Yes,Repair - Approx Cost ₹533
Li-ion,Exide,Dead Cell,No,Not Repairable - Need to Buy New One
NiMH,Samsung,Not Charging,Yes,Repair - Approx Cost ₹850
Lead-Acid,Samsung,Physical Damage,No,Not Repairable - Need to Buy New One
Li-ion,Duracell,Physical Damage,No,Not Repairable - Need to Buy New One
Lead-Acid,Duracell,Overheating,Yes,Repair - Approx Cost ₹1470
Lead-Acid,Amaron,Low Backup,Yes,Repair - Approx Cost ₹271
Li-ion,Sony,Leakage,No,Not Repairable - Need to Buy New One
NiMH,Exide,Not Charging,Yes,Repair - Approx Cost ₹789
Lead-Acid,LG,Not Charging,Yes,Repair - Approx Cost ₹549
Li-ion,Exide,Dead Cell,No,Not Repairable - Need to Buy New One
Lead-Acid,Samsung,Low Backup,Yes,Repair - Approx Cost ₹968
NiMH,Amaron,Overheating,Yes,Repair - Approx Cost ₹854
Lead-Acid,LG,Dead Cell,No,Not Repairable - Need to Buy New One
Li-ion,Sony,Dead Cell,No,Not Repairable - Need to Buy New One
NiMH,Duracell,Leakage,No,Not Repairable - Need to Buy New One
Lead-Acid,Samsung,Swollen Battery,No,Not Repairable - Need to Buy New One
Li-Polymer,Amaron,Voltage Drop,Yes,Repair - Approx Cost ₹980
Lead-Acid,Samsung,Voltage Drop,Yes,Repair - Approx Cost ₹776
